Text,Date,Likes,Retweets
"@ngebrojorka @spectatorindex Kebakaran di gedung kantor 7 lantai Terra Drone Indonesia, Jakarta Pusat, dimulai dari ledakan baterai di lantai 1 siang ini (9 Des 2025). Korban tewas 20 orang (5 pria, 15 wanita, termasuk 1 hamil), sebagian besar karena sesak napas. Api sudah padam, evakuasi masih berlangsung.",2025-12-09 11:04:04+00:00,0,0
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:04:00+00:00,0,1589
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:03:56+00:00,0,1589
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:03:55+00:00,0,2390
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:03:52+00:00,0,1589
"RT @kompascom: ""Saat ini baru 60 persen listrik menyala di 18 kabupaten/kota yang terdampak banjir dan longsor di Aceh. Saya minta seluruh…",2025-12-09 11:03:45+00:00,0,247
"RT @kompascom: ""Saat ini baru 60 persen listrik menyala di 18 kabupaten/kota yang terdampak banjir dan longsor di Aceh. Saya minta seluruh…",2025-12-09 11:03:43+00:00,0,247
"RT @mercindonesia: Bantuan Hygiene Kit MER-C Tiba di Sumbar, Langsung Dibagikan ke Penyintas Banjir dan Longsor

Padang – Bantuan hygiene k…",2025-12-09 11:03:21+00:00,0,9
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:03:19+00:00,0,2390
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:03:19+00:00,0,2390
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:03:06+00:00,0,2390
"RT @kompascom: ""Saat ini baru 60 persen listrik menyala di 18 kabupaten/kota yang terdampak banjir dan longsor di Aceh. Saya minta seluruh…",2025-12-09 11:03:05+00:00,0,247
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:03:03+00:00,0,1589
RT @zakiberkata: Pohon hutan jauh lebih baik dibanding Sawit dalam menahan longsor dan banjir https://t.co/a4P6tbh2Bt,2025-12-09 11:02:55+00:00,0,3227
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:02:45+00:00,0,1589
"RT @Aceh: Balok-balok kayu seperti misil 🚀 hantam sebuah rumah di Bener Meriah Aceh

Banjir Aceh 2025 🌀 cyclone senyar adalah bencana banji…",2025-12-09 11:02:42+00:00,0,43
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:02:36+00:00,0,2390
"RT @infomitigasi: Berikut ini kami sampaikan wilayah-wilayah yang terdapat Notifikasi berpotensi terjadi Banjir dan maupun potensi Longsor,…",2025-12-09 11:02:35+00:00,0,119
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:02:30+00:00,0,1589
"Innalillahi kebakaran di kantor Terra drone Cempaka Putih siang tadi

https://t.co/yFLtyO58fS https://t.co/9bDMkK9Zga",2025-12-09 11:02:28+00:00,0,0
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:02:26+00:00,0,1589
"RT @DS_yantie: Kemenhut semakin ketar ketir aja nih
Mendengar Kejagung akan menindak tegas perusahaan atau siapapun yang terlibat merusak H…",2025-12-09 11:02:21+00:00,0,31
