Text,Date,Likes,Retweets,Sentimen,Kategori
"RT @infoBMKG: #Gempa Mag:5.5, 09-Dec-2025 14:02:54WIB, Lok:2.54LU, 95.94BT (48 km BaratLaut SINABANG-ACEH), Kedlmn:10 Km #BMKG 
Disclaimer:…",2025-12-09 11:35:04+00:00,0,18,Netral,Gempa Bumi
"RT @infoBMKG: #Gempa Mag:5.5, 09-Dec-2025 14:02:54WIB, Lok:2.54LU, 95.94BT (48 km BaratLaut SINABANG-ACEH), Kedlmn:10 Km #BMKG 
Disclaimer:…",2025-12-09 11:35:03+00:00,0,18,Netral,Gempa Bumi
"RT @okkymadasari: Banyak indikator menunjukkan penanganan bencana Sumatra terburuk dibandingkan tsunami Aceh, gempa Jogja, Palu.

Penyebab:…",2025-12-09 11:34:43+00:00,0,526,Netral,Gempa Bumi
"RT @stravenues: Gempa 7.6 M, tapi terlihat kerusakan dapat diminimalisir karena bangunan sudah tahan gempa.

Inilah pentingnya mitigasi, bu…",2025-12-09 11:34:34+00:00,0,464,Netral,Gempa Bumi
Jepang hampir tiap hari gempa https://t.co/LPHK6ihJ7o,2025-12-09 11:34:17+00:00,0,0,Netral,Gempa Bumi
"RT @Gempa_Tsunami: Gempa Mag:5.4, 09-12-2025 14:02:53 WIB, 54 km BaratLaut SINABANG ACEH, Kedalaman:10 Km https://t.co/90WUFPh5bU",2025-12-09 11:33:47+00:00,0,70,Netral,Gempa Bumi
RT @zakiberkata: Gempa Sumatera,2025-12-09 11:33:43+00:00,0,187,Netral,Gempa Bumi
"RT @stravenues: Gempa 7.6 M, tapi terlihat kerusakan dapat diminimalisir karena bangunan sudah tahan gempa.

Inilah pentingnya mitigasi, bu…",2025-12-09 11:33:36+00:00,0,464,Netral,Gempa Bumi
"RT @stravenues: Gempa 7.6 M, tapi terlihat kerusakan dapat diminimalisir karena bangunan sudah tahan gempa.

Inilah pentingnya mitigasi, bu…",2025-12-09 11:33:20+00:00,0,464,Netral,Gempa Bumi
"RT @stravenues: Gempa 7.6 M, tapi terlihat kerusakan dapat diminimalisir karena bangunan sudah tahan gempa.

Inilah pentingnya mitigasi, bu…",2025-12-09 11:33:15+00:00,0,464,Netral,Gempa Bumi
RT @zakiberkata: Gempa magnitudo 7.5 Honshu Jepang. https://t.co/xJYH1yYK4p,2025-12-09 11:33:07+00:00,0,480,Netral,Gempa Bumi
"RT @okkymadasari: Banyak indikator menunjukkan penanganan bencana Sumatra terburuk dibandingkan tsunami Aceh, gempa Jogja, Palu.

Penyebab:…",2025-12-09 11:33:03+00:00,0,526,Netral,Gempa Bumi
"RT @okkymadasari: Banyak indikator menunjukkan penanganan bencana Sumatra terburuk dibandingkan tsunami Aceh, gempa Jogja, Palu.

Penyebab:…",2025-12-09 11:32:57+00:00,0,526,Netral,Gempa Bumi
"RT @okkymadasari: Banyak indikator menunjukkan penanganan bencana Sumatra terburuk dibandingkan tsunami Aceh, gempa Jogja, Palu.

Penyebab:…",2025-12-09 11:32:48+00:00,0,526,Netral,Gempa Bumi
RT @andori: Jepang gempa gede gak sampe 1 jam dari kejadian perdana mentri nongol bikin pers. Evakuasi warganya gercep pol pdhl tengah male…,2025-12-09 11:32:18+00:00,0,2071,Netral,Gempa Bumi
"#Gempa Mag:2.5, 09-Dec-2025 18:29:31WIB, Lok:9.67LS, 124.86BT (16 km BaratDaya MALAKA-NTT), Kedlmn:28 Km #BMKG 
Disclaimer:Informasi ini mengutamakan kecepatan, sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/AMkU4DIoC2",2025-12-09 11:32:09+00:00,0,0,Netral,Gempa Bumi
"RT @Saefullloh: 11:15 Gempa
11:51 Perdana Menteri langsung ngasih statement, antisipasi, penanggulangan dan arahan untuk melakukan segala h…",2025-12-09 11:32:06+00:00,0,158,Netral,Gempa Bumi
"RT @infoBMKG: #Gempa Mag:5.5, 09-Dec-2025 14:02:54WIB, Lok:2.54LU, 95.94BT (48 km BaratLaut SINABANG-ACEH), Kedlmn:10 Km #BMKG 
Disclaimer:…",2025-12-09 11:32:05+00:00,0,18,Netral,Gempa Bumi
"RT @SputnikIndo: 🚨 Jepang Cabut Peringatan Tsunami Usai Gempa M7,5

Otoritas Jepang mencabut peringatan tsunami pada Selasa pagi, setelah g…",2025-12-09 11:31:58+00:00,0,0,Netral,Gempa Bumi
"RT @stravenues: Gempa 7.6 M, tapi terlihat kerusakan dapat diminimalisir karena bangunan sudah tahan gempa.

Inilah pentingnya mitigasi, bu…",2025-12-09 11:31:47+00:00,0,464,Netral,Gempa Bumi
"RT @okkymadasari: Banyak indikator menunjukkan penanganan bencana Sumatra terburuk dibandingkan tsunami Aceh, gempa Jogja, Palu.

Penyebab:…",2025-12-09 11:31:29+00:00,0,526,Netral,Gempa Bumi
@zakiberkata kenapaa gempa disana lama bgt yaa,2025-12-09 11:31:12+00:00,0,0,Netral,Gempa Bumi
RT @andori: Jepang gempa gede gak sampe 1 jam dari kejadian perdana mentri nongol bikin pers. Evakuasi warganya gercep pol pdhl tengah male…,2025-12-09 11:31:09+00:00,0,2071,Netral,Gempa Bumi
"RT @stravenues: Gempa 7.6 M, tapi terlihat kerusakan dapat diminimalisir karena bangunan sudah tahan gempa.

Inilah pentingnya mitigasi, bu…",2025-12-09 11:30:51+00:00,0,464,Netral,Gempa Bumi
RT @andori: Jepang gempa gede gak sampe 1 jam dari kejadian perdana mentri nongol bikin pers. Evakuasi warganya gercep pol pdhl tengah male…,2025-12-09 11:30:24+00:00,0,2071,Netral,Gempa Bumi
"RT @Saefullloh: 11:15 Gempa
11:51 Perdana Menteri langsung ngasih statement, antisipasi, penanggulangan dan arahan untuk melakukan segala h…",2025-12-09 11:30:22+00:00,0,158,Netral,Gempa Bumi
"Gempa bumi kuat berukuran 7.5 magnitud melanda timur laut Jepun pada 8 Disember, mencederakan sekurang-kurangnya 30 orang dan memaksa puluhan ribu penduduk berpindah. https://t.co/UaTyQd5Dgi",2025-12-09 11:30:13+00:00,0,0,Netral,Gempa Bumi
"RT @infoBMKG: #Gempa (UPDATE) Mag:5.4, 09-Des-25 14:02:53 WIB, Lok:2.48 LU, 95.88 BT (Pusat gempa berada di laut 54 km BaratLaut SINABANG-A…",2025-12-09 11:30:07+00:00,0,8,Netral,Gempa Bumi
RT @andori: Jepang gempa gede gak sampe 1 jam dari kejadian perdana mentri nongol bikin pers. Evakuasi warganya gercep pol pdhl tengah male…,2025-12-09 11:29:59+00:00,0,2071,Netral,Gempa Bumi
